ID,score
1,6.0
2,7.0
3,6.0
4,7.0
5,-0.0
6,6.0
7,7.0
8,0.0
9,2.0
10,1.0
11,4.0
12,1.0
13,4.0
14,6.0
15,7.0
16,9.0
17,8.0
18,6.0
19,2.0
20,5.0
21,9.0
22,-0.0
23,6.0
24,9.0
25,1.0
26,5.0
27,2.0
28,9.0
29,4.0
30,5.0
31,7.0
32,9.0
33,6.0
34,2.0
35,8.0
36,4.0
37,1.0
38,1.0
39,7.0
40,3.0
41,6.0
42,8.0
43,7.0
44,4.0
45,8.0
46,2.0
47,4.0
48,5.0
49,1.0
50,2.0
51,7.0
52,0.0
53,3.0
54,4.0
55,2.0
56,4.0
57,6.0
58,6.0
59,0.0
60,8.0
61,7.0
62,4.0
63,1.0
64,1.0
65,1.0
66,1.0
67,4.0
68,6.0
69,4.0
70,0.0
71,8.0
72,1.0
73,6.0
74,3.0
75,4.0
76,9.0
77,6.0
78,7.0
79,7.0
80,1.0
81,5.0
82,6.0
83,6.0
84,8.0
85,4.0
86,8.0
87,7.0
88,8.0
89,-0.0
90,3.0
91,4.0
92,10.0
93,1.0
94,8.0
95,1.0
96,4.0
97,2.0
98,5.0
99,0.0
100,8.0
101,4.0
102,2.0
103,5.0
104,5.0
105,2.0
106,6.0
107,8.0
108,3.0
109,6.0
110,6.0
111,3.0
112,6.0
113,1.0
114,4.0
115,1.0
116,6.0
117,8.0
118,7.0
119,6.0
120,4.0
121,7.0
122,3.0
123,1.0
124,5.0
125,9.0
126,7.0
127,6.0
128,7.0
129,5.0
130,3.0
131,8.0
132,3.0
133,6.0
134,5.0
135,5.0
136,4.0
137,6.0
138,9.0
139,9.0
140,6.0
141,1.0
142,6.0
143,10.0
144,3.0
145,2.0
146,7.0
147,6.0
148,5.0
149,9.0
150,6.0
151,7.0
152,5.0
153,2.0
154,8.0
155,1.0
156,7.0
157,2.0
158,3.0
159,8.0
160,2.0
161,4.0
162,1.0
163,1.0
164,5.0
165,5.0
166,8.0
167,-0.0
168,6.0
169,8.0
170,1.0
171,7.0
172,6.0
173,6.0
174,7.0
175,2.0
176,1.0
177,2.0
178,7.0
179,0.0
180,8.0
181,4.0
182,3.0
183,7.0
184,8.0
185,2.0
186,7.0
187,7.0
188,1.0
189,3.0
190,6.0
191,3.0
192,0.0
193,0.0
194,7.0
195,4.0
196,3.0
197,8.0
198,5.0
199,3.0
200,7.0
201,2.0
202,5.0
203,0.0
204,7.0
205,5.0
206,8.0
207,1.0
208,5.0
209,6.0
210,5.0
211,6.0
212,8.0
213,1.0
214,5.0
215,5.0
216,7.0
217,5.0
218,2.0
219,7.0
220,2.0
221,4.0
222,2.0
223,5.0
224,1.0
225,6.0
226,5.0
227,2.0
228,8.0
229,7.0
230,2.0
231,5.0
232,5.0
233,2.0
234,2.0
235,7.0
236,5.0
237,1.0
238,9.0
239,3.0
240,7.0
241,0.0
242,8.0
243,1.0
244,5.0
245,1.0
246,2.0
247,5.0
248,4.0
249,10.0
250,1.0
251,6.0
252,5.0
253,8.0
254,6.0
255,-0.0
256,4.0
257,8.0
258,1.0
259,3.0
260,4.0
261,3.0
262,2.0
263,6.0
264,7.0
265,3.0
266,6.0
267,5.0
268,6.0
269,8.0
270,9.0
271,2.0
272,7.0
273,3.0
274,4.0
275,6.0
276,6.0
277,7.0
278,1.0
279,4.0
280,7.0
281,5.0
282,7.0
283,9.0
284,6.0
285,6.0
286,5.0
287,6.0
288,2.0
289,8.0
290,4.0
291,4.0
292,1.0
293,2.0
294,4.0
295,7.0
296,8.0
297,5.0
298,6.0
299,6.0
300,2.0
301,8.0
302,10.0
303,4.0
304,8.0
305,7.0
306,4.0
307,2.0
308,1.0
309,7.0
310,5.0
311,2.0
312,0.0
313,7.0
314,0.0
315,2.0
316,3.0
317,-0.0
318,7.0
319,7.0
320,0.0
321,1.0
322,6.0
323,1.0
324,1.0
325,4.0
326,9.0
327,8.0
328,6.0
329,7.0
330,8.0
331,2.0
332,7.0
333,3.0
334,8.0
335,7.0
336,0.0
337,1.0
338,2.0
339,9.0
340,0.0
341,4.0
342,7.0
343,5.0
344,8.0
345,1.0
346,9.0
347,4.0
348,5.0
349,3.0
350,6.0
351,1.0
352,1.0
353,0.0
354,8.0
355,7.0
356,2.0
357,6.0
358,6.0
359,3.0
360,9.0
361,1.0
362,8.0
363,2.0
364,3.0
365,0.0
366,8.0
367,7.0
368,6.0
369,7.0
370,8.0
371,5.0
372,2.0
373,9.0
374,7.0
375,1.0
376,4.0
377,5.0
378,8.0
379,9.0
380,5.0
381,8.0
382,8.0
383,4.0
384,6.0
385,3.0
386,7.0
387,6.0
388,5.0
389,1.0
390,7.0
391,1.0
392,1.0
393,7.0
394,6.0
395,1.0
396,5.0
397,6.0
398,4.0
399,8.0
400,6.0
401,7.0
402,10.0
403,6.0
404,7.0
405,6.0
406,3.0
407,9.0
408,1.0
409,1.0
410,6.0
411,2.0
412,2.0
413,1.0
414,8.0
415,-0.0
416,4.0
417,7.0
418,1.0
419,7.0
420,7.0
421,3.0
422,3.0
423,10.0
424,9.0
425,6.0
426,9.0
427,1.0
428,1.0
429,1.0
430,3.0
431,2.0
432,7.0
433,6.0
434,7.0
435,7.0
436,2.0
437,3.0
438,9.0
439,5.0
440,5.0
441,8.0
442,2.0
443,3.0
444,5.0
445,5.0
446,5.0
447,7.0
448,4.0
449,7.0
450,2.0
451,5.0
452,3.0
453,6.0
454,4.0
455,0.0
456,7.0
457,9.0
458,2.0
459,8.0
460,5.0
461,9.0
462,1.0
463,5.0
464,8.0
465,2.0
