ID,score
1,6.0
2,10.0
3,8.0
4,7.0
5,6.0
6,8.0
7,7.0
8,7.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,5.0
15,7.0
16,6.0
17,7.0
18,6.0
19,5.0
20,8.0
21,6.0
22,7.0
23,6.0
24,7.0
25,7.0
26,7.0
27,8.0
28,7.0
29,7.0
30,10.0
31,6.0
32,8.0
33,8.0
34,5.0
35,8.0
36,7.0
37,7.0
38,5.0
39,8.0
40,9.0
41,7.0
42,7.0
43,7.0
44,7.0
45,8.0
46,9.0
47,8.0
48,6.0
49,8.0
50,7.0
51,6.0
52,5.0
53,4.0
54,9.0
55,6.0
56,7.0
57,8.0
58,8.0
59,6.0
60,7.0
61,6.0
62,7.0
63,6.0
64,8.0
65,8.0
66,6.0
67,8.0
68,7.0
69,4.0
70,8.0
71,6.0
72,5.0
73,8.0
74,7.0
75,5.0
76,7.0
77,7.0
78,8.0
79,8.0
80,6.0
81,8.0
82,9.0
83,9.0
84,8.0
85,6.0
86,7.0
87,5.0
88,8.0
89,7.0
90,7.0
91,8.0
92,7.0
93,7.0
94,7.0
95,8.0
96,3.0
97,5.0
98,7.0
99,6.0
100,7.0
101,8.0
102,9.0
103,6.0
104,7.0
105,6.0
106,3.0
107,6.0
108,5.0
109,6.0
110,8.0
111,7.0
112,5.0
113,8.0
114,9.0
115,7.0
116,8.0
117,7.0
118,6.0
119,9.0
120,9.0
121,6.0
122,6.0
123,6.0
124,9.0
125,8.0
126,4.0
127,6.0
128,7.0
129,7.0
130,6.0
131,7.0
132,9.0
133,6.0
134,8.0
135,8.0
136,3.0
137,6.0
138,8.0
139,5.0
140,6.0
141,6.0
142,7.0
143,6.0
144,7.0
145,6.0
146,5.0
147,5.0
148,7.0
149,8.0
150,8.0
151,8.0
152,8.0
153,7.0
154,8.0
155,8.0
156,8.0
157,7.0
158,7.0
159,6.0
160,6.0
161,7.0
162,5.0
163,5.0
164,8.0
165,7.0
166,8.0
167,5.0
168,6.0
169,7.0
170,7.0
171,9.0
172,7.0
173,7.0
174,9.0
175,9.0
176,6.0
177,8.0
178,8.0
179,6.0
180,8.0
181,10.0
182,5.0
183,8.0
184,6.0
185,7.0
186,7.0
187,7.0
188,6.0
189,8.0
190,6.0
191,6.0
192,8.0
193,6.0
194,6.0
195,6.0
196,9.0
197,7.0
198,7.0
199,8.0
200,8.0
201,7.0
202,8.0
203,5.0
204,7.0
205,6.0
206,6.0
207,7.0
208,6.0
209,7.0
210,7.0
211,7.0
212,7.0
213,6.0
214,6.0
215,4.0
216,5.0
217,6.0
218,8.0
219,7.0
220,9.0
221,6.0
222,5.0
223,6.0
224,7.0
225,7.0
226,8.0
227,7.0
228,7.0
229,7.0
230,7.0
231,4.0
232,6.0
233,6.0
234,6.0
235,8.0
236,8.0
237,7.0
238,7.0
239,9.0
240,8.0
241,5.0
242,6.0
243,6.0
244,7.0
245,3.0
246,6.0
247,6.0
248,6.0
249,6.0
250,9.0
251,4.0
252,7.0
253,6.0
254,8.0
255,7.0
256,6.0
257,6.0
258,9.0
259,7.0
260,7.0
261,8.0
262,7.0
263,7.0
264,8.0
265,6.0
266,9.0
267,6.0
268,4.0
269,6.0
270,7.0
271,7.0
272,9.0
273,7.0
274,6.0
275,8.0
276,5.0
277,8.0
278,7.0
279,8.0
280,8.0
281,8.0
282,7.0
283,6.0
284,7.0
285,7.0
286,7.0
287,9.0
288,6.0
289,7.0
290,7.0
291,6.0
292,5.0
293,6.0
294,8.0
295,9.0
296,8.0
297,9.0
298,8.0
299,7.0
300,7.0
301,7.0
302,5.0
303,5.0
304,6.0
305,8.0
306,6.0
307,8.0
308,7.0
309,8.0
310,7.0
311,7.0
312,6.0
313,6.0
314,6.0
315,7.0
316,6.0
317,6.0
318,6.0
319,6.0
320,8.0
321,5.0
322,9.0
323,5.0
324,7.0
325,8.0
326,6.0
327,6.0
