ID,score
1,6.0
2,7.0
3,3.0
4,9.0
5,-0.0
6,3.0
7,6.0
8,1.0
9,0.0
10,1.0
11,6.0
12,4.0
13,4.0
14,3.0
15,7.0
16,5.0
17,8.0
18,7.0
19,2.0
20,6.0
21,9.0
22,2.0
23,10.0
24,5.0
25,7.0
26,6.0
27,0.0
28,7.0
29,10.0
30,6.0
31,7.0
32,7.0
33,6.0
34,1.0
35,6.0
36,6.0
37,2.0
38,7.0
39,8.0
40,2.0
41,8.0
42,7.0
43,9.0
44,5.0
45,6.0
46,8.0
47,6.0
48,8.0
49,1.0
50,2.0
51,8.0
52,-0.0
53,4.0
54,5.0
55,2.0
56,5.0
57,5.0
58,8.0
59,-0.0
60,6.0
61,8.0
62,3.0
63,0.0
64,0.0
65,2.0
66,1.0
67,6.0
68,7.0
69,4.0
70,0.0
71,9.0
72,0.0
73,6.0
74,2.0
75,3.0
76,7.0
77,2.0
78,5.0
79,7.0
80,0.0
81,9.0
82,5.0
83,3.0
84,7.0
85,5.0
86,6.0
87,8.0
88,10.0
89,1.0
90,7.0
91,9.0
92,9.0
93,1.0
94,4.0
95,2.0
96,3.0
97,5.0
98,10.0
99,1.0
100,10.0
101,9.0
102,5.0
103,4.0
104,6.0
105,3.0
106,6.0
107,7.0
108,6.0
109,10.0
110,7.0
111,1.0
112,4.0
113,2.0
114,3.0
115,1.0
116,4.0
117,10.0
118,7.0
119,5.0
120,4.0
121,8.0
122,5.0
123,2.0
124,8.0
125,8.0
126,6.0
127,6.0
128,5.0
129,3.0
130,2.0
131,5.0
132,6.0
133,8.0
134,4.0
135,7.0
136,4.0
137,4.0
138,7.0
139,5.0
140,10.0
141,1.0
142,3.0
143,9.0
144,1.0
145,0.0
146,7.0
147,10.0
148,9.0
149,7.0
150,7.0
151,2.0
152,6.0
153,2.0
154,3.0
155,0.0
156,10.0
157,6.0
158,4.0
159,8.0
160,1.0
161,3.0
162,5.0
163,4.0
164,7.0
165,6.0
166,6.0
167,-0.0
168,7.0
169,8.0
170,4.0
171,8.0
172,7.0
173,10.0
174,10.0
175,5.0
176,1.0
177,3.0
178,10.0
179,-0.0
180,7.0
181,5.0
182,4.0
183,5.0
184,10.0
185,3.0
186,7.0
187,5.0
188,1.0
189,5.0
190,5.0
191,3.0
192,1.0
193,0.0
194,9.0
195,5.0
196,6.0
197,7.0
198,7.0
199,9.0
200,8.0
201,2.0
202,6.0
203,-0.0
204,6.0
205,3.0
206,6.0
207,-0.0
208,3.0
209,10.0
210,10.0
211,5.0
212,6.0
213,1.0
214,6.0
215,1.0
216,8.0
217,3.0
218,7.0
219,6.0
220,3.0
221,4.0
222,2.0
223,6.0
224,3.0
225,5.0
226,2.0
227,2.0
228,6.0
229,10.0
230,1.0
231,8.0
232,3.0
233,1.0
234,2.0
235,3.0
236,6.0
237,3.0
238,9.0
239,3.0
240,9.0
241,2.0
242,7.0
243,4.0
244,6.0
245,2.0
246,1.0
247,5.0
248,8.0
249,10.0
250,4.0
251,7.0
252,3.0
253,6.0
254,4.0
255,0.0
256,7.0
257,6.0
258,3.0
259,5.0
260,3.0
261,5.0
262,2.0
263,10.0
264,6.0
265,5.0
266,9.0
267,3.0
268,3.0
269,7.0
270,7.0
271,5.0
272,4.0
273,1.0
274,3.0
275,10.0
276,8.0
277,4.0
278,1.0
279,6.0
280,9.0
281,9.0
282,5.0
283,3.0
284,7.0
285,5.0
286,8.0
287,5.0
288,3.0
289,9.0
290,5.0
291,4.0
292,0.0
293,6.0
294,7.0
295,2.0
296,8.0
297,2.0
298,3.0
299,5.0
300,1.0
301,6.0
302,8.0
303,1.0
304,8.0
305,6.0
306,6.0
307,5.0
308,1.0
309,7.0
310,7.0
311,2.0
312,1.0
313,10.0
314,1.0
315,3.0
316,6.0
317,1.0
318,6.0
319,8.0
320,1.0
321,2.0
322,2.0
323,2.0
324,1.0
325,5.0
326,7.0
327,2.0
328,8.0
329,6.0
330,8.0
331,2.0
332,7.0
333,1.0
334,7.0
335,9.0
336,2.0
337,3.0
338,2.0
339,6.0
340,-0.0
341,6.0
342,4.0
343,5.0
344,8.0
345,2.0
346,10.0
347,5.0
348,7.0
349,3.0
350,2.0
351,0.0
352,1.0
353,1.0
354,10.0
355,7.0
356,0.0
357,7.0
358,6.0
359,8.0
360,9.0
361,-0.0
362,6.0
363,2.0
364,2.0
365,1.0
366,7.0
367,6.0
368,5.0
369,9.0
370,8.0
371,8.0
372,1.0
373,9.0
374,7.0
375,1.0
376,4.0
377,8.0
378,6.0
379,5.0
380,4.0
381,6.0
382,9.0
383,8.0
384,9.0
385,5.0
386,6.0
387,8.0
388,5.0
389,1.0
390,3.0
391,1.0
392,1.0
393,6.0
394,4.0
395,3.0
396,4.0
397,6.0
398,3.0
399,8.0
400,7.0
401,2.0
402,10.0
403,5.0
404,6.0
405,4.0
406,2.0
407,8.0
408,1.0
409,2.0
410,5.0
411,2.0
412,3.0
413,1.0
414,7.0
415,0.0
416,9.0
417,10.0
418,2.0
419,6.0
420,9.0
421,5.0
422,3.0
423,8.0
424,9.0
425,5.0
426,8.0
427,0.0
428,1.0
429,0.0
430,3.0
431,9.0
432,7.0
433,6.0
434,5.0
435,7.0
436,1.0
437,2.0
438,10.0
439,4.0
440,3.0
441,7.0
442,2.0
443,5.0
444,2.0
445,5.0
446,3.0
447,10.0
448,6.0
449,6.0
450,4.0
451,7.0
452,0.0
453,5.0
454,10.0
455,0.0
456,10.0
457,4.0
458,1.0
459,10.0
460,8.0
461,6.0
462,0.0
463,7.0
464,9.0
465,3.0
